# Constructed from biom file																																																																																																						
OTUID	D30S16F02Or2Cr2014St01R1D1	D30S16F02Or2Cr2014St01R1D2	D30S16F02Or2Cr2014St01R1D3	D30S16F02Or2Cr2014St01R1D4	D30S16F02Or2Cr2014St01R2D1	D30S16F02Or2Cr2014St01R2D2	D30S16F02Or2Cr2014St01R2D3	D30S16F02Or2Cr2014St01R2D4	D30S16F02Or2Cr2057St01R1D1	D30S16F02Or2Cr2057St01R1D2	D30S16F02Or2Cr2057St01R1D3	D30S16F02Or2Cr2057St01R1D4	D30S16F02Or2Cr2057St01R2D1	D30S16F02Or2Cr2057St01R2D2	D30S16F02Or2Cr2057St01R2D3	D30S16F02Or2Cr2057St01R2D4	D30S16F02Or2Cr2057St09R1D1	D30S16F02Or2Cr2057St09R1D2	D30S16F02Or2Cr2057St09R1D3	D30S16F02Or2Cr2057St09R1D4	D30S16F02Or2Cr2057St09R2D1	D30S16F02Or2Cr2057St09R2D2	D30S16F02Or2Cr2057St09R2D3	D30S16F02Or2Cr2057St09R2D4	D30S16F02Or2Cr2109St01R1D1	D30S16F02Or2Cr2109St01R1D2	D30S16F02Or2Cr2109St01R1D3	D30S16F02Or2Cr2109St01R1D4	D30S16F02Or2Cr2109St01R2D1	D30S16F02Or2Cr2109St01R2D2	D30S16F02Or2Cr2109St01R2D3	D30S16F02Or2Cr2109St01R2D4	D30S16F02Or2Cr2109St09R1D1	D30S16F02Or2Cr2109St09R1D2	D30S16F02Or2Cr2109St09R1D3	D30S16F02Or2Cr2109St09R1D4	D30S16F02Or2Cr2109St09R2D1	D30S16F02Or2Cr2109St09R2D2	D30S16F02Or2Cr2109St09R2D3	D30S16F02Or2Cr2109St09R2D4	D30S16F02Or2Cr2164St01R1D1	D30S16F02Or2Cr2164St01R1D2	D30S16F02Or2Cr2164St01R1D3	D30S16F02Or2Cr2164St01R1D4	D30S16F02Or2Cr2164St01R2D1	D30S16F02Or2Cr2164St01R2D2	D30S16F02Or2Cr2164St01R2D3	D30S16F02Or2Cr2164St01R2D4	DS16F02Or2Cr2014St01R1D1	DS16F02Or2Cr2014St01R1D2	DS16F02Or2Cr2014St01R1D3	DS16F02Or2Cr2014St01R1D4	DS16F02Or2Cr2014St01R2D1	DS16F02Or2Cr2014St01R2D2	DS16F02Or2Cr2014St01R2D3	DS16F02Or2Cr2014St01R2D4	DS16F02Or2Cr2014St01T0	DS16F02Or2Cr2057St01R1D1	DS16F02Or2Cr2057St01R1D2	DS16F02Or2Cr2057St01R1D3	DS16F02Or2Cr2057St01R1D4	DS16F02Or2Cr2057St01R2D1	DS16F02Or2Cr2057St01R2D2	DS16F02Or2Cr2057St01R2D3	DS16F02Or2Cr2057St01R2D4	DS16F02Or2Cr2057St01T0	DS16F02Or2Cr2057St09R1D1	DS16F02Or2Cr2057St09R1D2	DS16F02Or2Cr2057St09R1D3	DS16F02Or2Cr2057St09R1D4	DS16F02Or2Cr2057St09R2D1	DS16F02Or2Cr2057St09R2D2	DS16F02Or2Cr2057St09R2D3	DS16F02Or2Cr2057St09R2D4	DS16F02Or2Cr2057St09T0	DS16F02Or2Cr2109St01R1D1	DS16F02Or2Cr2109St01R1D2	DS16F02Or2Cr2109St01R1D3	DS16F02Or2Cr2109St01R1D4	DS16F02Or2Cr2109St01R2D1	DS16F02Or2Cr2109St01R2D2	DS16F02Or2Cr2109St01R2D3	DS16F02Or2Cr2109St01R2D4	DS16F02Or2Cr2109St01T0	DS16F02Or2Cr2109St09R1D1	DS16F02Or2Cr2109St09R1D2	DS16F02Or2Cr2109St09R1D3	DS16F02Or2Cr2109St09R1D4	DS16F02Or2Cr2109St09R2D1	DS16F02Or2Cr2109St09R2D2	DS16F02Or2Cr2109St09R2D3	DS16F02Or2Cr2109St09R2D4	DS16F02Or2Cr2109St09T0	DS16F02Or2Cr2164St01R1D1	DS16F02Or2Cr2164St01R1D2	DS16F02Or2Cr2164St01R1D3	DS16F02Or2Cr2164St01R1D4	DS16F02Or2Cr2164St01R2D1	DS16F02Or2Cr2164St01R2D2	DS16F02Or2Cr2164St01R2D3	DS16F02Or2Cr2164St01R2D4	DS16F02Or2Cr2164St01T0
c7d0b4652be83a790eb1fa17a6db549f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
04d3022624ac5d599fbc9054da4475d5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ddddb7558dba3f9f4eda33f5648173f0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ce8940eb4a2b742148bd76a97c7a57e6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
95670b1c5061e4a1080bf89e0e36e207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d16231177007fb0a6d4dae0d6de6ff7d	47	31	222	60	68	115	55	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	84	294	384	350	94	305	180	366	0	83	63	79	94	508	53	14	924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	32	8	77	17	26	13	115	18
66e7b3adb961785beb10d6c7f81cd8b6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aa115fab33c431573f9e5ca7c5ec68da	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239dfbae5ee7ab8c36e7910b6875e8b3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b130c4b1f25c68d9247301d3bbef40dd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
